"idnum","child_attend_kindergarten","povstatus"
"0001","yes","high-income"
"0002","yes","low-income"
"0003","yes","high-income"
"0004","yes","low-income"
"0005","no","low-income"
"0006","yes","low-income"
"0007",NA,"high-income"
"0008","no","low-income"
"0009","yes","low-income"
"0010","yes","high-income"
"0011","yes","high-income"
"0012","yes","low-income"
"0013","yes","high-income"
"0014","yes","high-income"
"0015","yes","high-income"
"0016","yes","high-income"
"0017",NA,"high-income"
"0018","yes","low-income"
"0019","yes","low-income"
"0020","yes","high-income"
"0021","yes","high-income"
"0022","yes","high-income"
"0023","yes","low-income"
"0024","yes","high-income"
"0025",NA,"high-income"
"0026",NA,"high-income"
"0027","no","low-income"
"0028","no","low-income"
"0029","yes","high-income"
"0030","yes","high-income"
"0031","yes","low-income"
"0032",NA,"low-income"
"0033","yes","low-income"
"0034","yes","low-income"
"0035",NA,"high-income"
"0036","yes","high-income"
"0037","yes","high-income"
"0038","yes","high-income"
"0039","yes","high-income"
"0040","yes","low-income"
"0041","yes","low-income"
"0042","yes","low-income"
"0043","yes","high-income"
"0044","yes","low-income"
"0045","no","low-income"
"0046","yes","high-income"
"0047","no","high-income"
"0048","yes","low-income"
"0049","yes","high-income"
"0050",NA,"high-income"
"0051","yes","high-income"
"0052","yes","low-income"
"0053","yes","high-income"
"0054","yes","high-income"
"0055",NA,"low-income"
"0056","no","low-income"
"0057","yes","low-income"
"0058","yes","high-income"
"0059","yes","high-income"
"0060","yes","low-income"
"0061","yes","low-income"
"0062","yes","low-income"
"0063","yes","low-income"
"0064","yes","low-income"
"0065","yes","low-income"
"0066","yes","high-income"
"0067","no","low-income"
"0068","yes","low-income"
"0069","yes","high-income"
"0070",NA,"high-income"
"0071",NA,"high-income"
"0072","yes","high-income"
"0073",NA,"low-income"
"0074","yes","high-income"
"0075",NA,"high-income"
"0076","yes","low-income"
"0077","yes","high-income"
"0078",NA,"low-income"
"0079","no","low-income"
"0080","yes","high-income"
"0081","yes","high-income"
"0082","no","low-income"
"0083","yes","low-income"
"0084","yes","high-income"
"0085",NA,"low-income"
"0086","yes","low-income"
"0087","yes","high-income"
"0088","yes","low-income"
"0089",NA,"low-income"
"0090","yes","low-income"
"0091","yes","high-income"
"0092",NA,"low-income"
"0093","yes","low-income"
"0094","yes","low-income"
"0095","yes","high-income"
"0096","yes","low-income"
"0097","yes","low-income"
"0098",NA,"high-income"
"0099",NA,"high-income"
"0100","no","high-income"
"0101","yes","high-income"
"0102",NA,"high-income"
"0103","yes","high-income"
"0104","yes","low-income"
"0105","yes","low-income"
"0106",NA,"high-income"
"0107","yes","high-income"
"0108","yes","high-income"
"0109","yes","high-income"
"0110","yes","high-income"
"0111","yes","low-income"
"0112","yes","high-income"
"0113","yes","low-income"
"0114","yes","low-income"
"0115","no","low-income"
"0116","yes","low-income"
"0117","no","low-income"
"0118","yes","low-income"
"0119","yes","low-income"
"0120","no","high-income"
"0121","yes","high-income"
"0122","yes","low-income"
"0123","yes","low-income"
"0124","yes","high-income"
"0125","yes","high-income"
"0126","yes","high-income"
"0127",NA,"low-income"
"0128","yes","high-income"
"0129","yes","high-income"
"0130","no","high-income"
"0131","no","low-income"
"0132","yes","low-income"
"0133","yes","low-income"
"0134","yes","high-income"
"0135",NA,"high-income"
"0136","yes","high-income"
"0137","yes","high-income"
"0138","yes","high-income"
"0139","yes","low-income"
"0140","yes","high-income"
"0141","yes","high-income"
"0142",NA,"low-income"
