"idnum","child_edu_level"
"0001","Some college, tech"
"0002","Some college, tech"
"0003","Completed high school"
"0004","Some college, tech"
"0005","Some college, tech"
"0006","Some college, tech"
"0007","Completed high school"
"0008","Less than high school"
"0009","Less than high school"
"0010","Completed high school"
"0011","Completed high school"
"0012","Completed high school"
"0013","Some college, tech"
"0014",NA
"0015","Some college, tech"
"0016","Completed college/grad"
"0017",NA
"0018",NA
"0019","Some college, tech"
"0020",NA
"0021","Some college, tech"
"0022","Completed college/grad"
"0023","Less than high school"
"0024","Completed college/grad"
"0025",NA
"0026",NA
"0027","Completed high school"
"0028","Completed high school"
"0029","Some college, tech"
"0030","Some college, tech"
"0031","Completed high school"
"0032",NA
"0033","Completed high school"
"0034",NA
"0035",NA
"0036","Completed college/grad"
"0037",NA
"0038",NA
"0039",NA
"0040","Completed high school"
"0041","Completed high school"
"0042","Some college, tech"
"0043","Completed high school"
"0044","Some college, tech"
"0045",NA
"0046","Completed high school"
"0047","Some college, tech"
"0048","Completed high school"
"0049","Some college, tech"
"0050",NA
"0051",NA
"0052","Completed high school"
"0053","Completed high school"
"0054","Completed college/grad"
"0055",NA
"0056","Some college, tech"
"0057","Less than high school"
"0058","Some college, tech"
"0059",NA
"0060","Some college, tech"
"0061","Some college, tech"
"0062","Completed high school"
"0063","Completed high school"
"0064",NA
"0065",NA
"0066","Some college, tech"
"0067",NA
"0068","Completed high school"
"0069",NA
"0070",NA
"0071",NA
"0072","Completed college/grad"
"0073",NA
"0074","Completed college/grad"
"0075",NA
"0076","Completed college/grad"
"0077","Completed high school"
"0078",NA
"0079",NA
"0080","Completed college/grad"
"0081",NA
"0082",NA
"0083","Completed high school"
"0084","Completed college/grad"
"0085","Some college, tech"
"0086","Completed high school"
"0087",NA
"0088","Some college, tech"
"0089",NA
"0090",NA
"0091",NA
"0092",NA
"0093","Completed high school"
"0094","Completed high school"
"0095","Completed high school"
"0096","Completed high school"
"0097","Completed high school"
"0098","Completed high school"
"0099",NA
"0100",NA
"0101","Completed high school"
"0102",NA
"0103","Some college, tech"
"0104","Completed high school"
"0105","Some college, tech"
"0106",NA
"0107","Completed high school"
"0108","Some college, tech"
"0109","Completed high school"
"0110",NA
"0111",NA
"0112","Some college, tech"
"0113","Some college, tech"
"0114","Completed high school"
"0115","Completed high school"
"0116",NA
"0117","Some college, tech"
"0118",NA
"0119","Completed high school"
"0120",NA
"0121",NA
"0122","Some college, tech"
"0123","Less than high school"
"0124",NA
"0125","Some college, tech"
"0126","Less than high school"
"0127",NA
"0128",NA
"0129","Completed high school"
"0130",NA
"0131",NA
"0132","Less than high school"
"0133","Some college, tech"
"0134","Completed college/grad"
"0135",NA
"0136",NA
"0137",NA
"0138",NA
"0139","Some college, tech"
"0140","Completed high school"
"0141","Completed college/grad"
"0142","Some college, tech"
"0143","Completed high school"
"0144",NA
"0145","Completed college/grad"
"0146","Some college, tech"
"0147",NA
"0148",NA
"0149","Some college, tech"
"0150",NA
"0151","Completed high school"
"0152","Completed high school"
"0153","Some college, tech"
"0154",NA
"0155","Some college, tech"
"0156",NA
"0157","Some college, tech"
"0158","Some college, tech"
"0159","Completed high school"
"0160","Completed high school"
"0161","Completed high school"
"0162","Completed high school"
"0163","Some college, tech"
"0164",NA
"0165",NA
"0166","Completed high school"
"0167","Some college, tech"
"0168",NA
"0169",NA
"0170","Completed high school"
"0171","Less than high school"
"0172","Completed high school"
"0173","Completed high school"
"0174","Some college, tech"
"0175","Some college, tech"
"0176",NA
"0177",NA
"0178","Completed high school"
"0179","Some college, tech"
"0180","Some college, tech"
"0181","Completed high school"
"0182","Some college, tech"
"0183","Completed high school"
"0184","Completed high school"
"0185",NA
"0186","Completed college/grad"
"0187",NA
"0188",NA
"0189","Less than high school"
"0190","Completed high school"
"0191",NA
"0192","Some college, tech"
"0193","Completed high school"
"0194","Completed high school"
"0195","Completed high school"
"0196","Some college, tech"
"0197",NA
"0198","Completed college/grad"
"0199","Completed high school"
"0200",NA
"0201",NA
"0202",NA
"0203","Completed high school"
"0204",NA
"0205","Some college, tech"
"0206","Completed high school"
"0207",NA
"0208",NA
"0209","Completed college/grad"
"0210",NA
"0211","Completed high school"
"0212",NA
"0213","Some college, tech"
"0214",NA
"0215",NA
"0216",NA
"0217",NA
"0218",NA
"0219","Completed high school"
"0220","Less than high school"
"0221",NA
"0222","Completed college/grad"
"0223",NA
"0224",NA
"0225","Completed high school"
"0226",NA
"0227",NA
"0228","Some college, tech"
"0229",NA
"0230","Completed college/grad"
"0231",NA
"0232","Completed high school"
"0233","Completed high school"
"0234","Some college, tech"
"0235","Some college, tech"
"0236","Completed high school"
"0237","Some college, tech"
"0238",NA
"0239",NA
"0240",NA
"0241","Completed college/grad"
"0242","Some college, tech"
"0243","Some college, tech"
"0244","Completed high school"
"0245","Completed high school"
"0246",NA
"0247",NA
"0248",NA
"0249","Some college, tech"
"0250","Completed college/grad"
"0251","Some college, tech"
"0252",NA
"0253","Completed high school"
"0254","Completed high school"
"0255","Some college, tech"
"0256","Completed high school"
"0257","Less than high school"
"0258","Some college, tech"
"0259",NA
"0260",NA
"0261","Less than high school"
"0262",NA
"0263",NA
"0264","Completed college/grad"
"0265","Completed high school"
"0266","Completed high school"
"0267","Completed high school"
"0268","Some college, tech"
"0269",NA
"0270","Completed high school"
"0271","Completed college/grad"
"0272",NA
"0273","Some college, tech"
"0274","Completed high school"
"0275",NA
"0276","Some college, tech"
"0277","Completed high school"
"0278","Some college, tech"
"0279",NA
"0280","Completed high school"
"0281","Some college, tech"
"0282","Completed high school"
"0283",NA
"0284","Completed high school"
"0285","Completed college/grad"
"0286",NA
"0287","Completed high school"
"0288","Completed high school"
"0289","Completed high school"
"0290",NA
"0291","Completed college/grad"
"0292","Some college, tech"
"0293",NA
"0294",NA
"0295","Completed college/grad"
"0296",NA
"0297",NA
"0298","Completed high school"
"0299","Completed high school"
"0300",NA
"0301",NA
"0302","Some college, tech"
"0303","Some college, tech"
"0304",NA
"0305",NA
"0306","Some college, tech"
"0307","Completed college/grad"
"0308","Completed high school"
"0309","Some college, tech"
"0310","Some college, tech"
"0311",NA
"0312","Completed high school"
"0313",NA
"0314",NA
"0315","Completed high school"
"0316","Some college, tech"
"0317",NA
"0318","Completed high school"
"0319","Some college, tech"
"0320","Some college, tech"
"0321","Completed college/grad"
"0322","Completed high school"
"0323","Completed high school"
"0324","Less than high school"
"0325","Completed high school"
"0326","Some college, tech"
"0327","Completed high school"
"0328","Some college, tech"
"0329",NA
"0330","Completed high school"
"0331","Completed high school"
"0332",NA
"0333","Some college, tech"
"0334","Completed high school"
"0335",NA
"0336","Completed college/grad"
"0337","Some college, tech"
"0338","Some college, tech"
"0339",NA
"0340",NA
"0341","Less than high school"
"0342",NA
"0343","Some college, tech"
"0344",NA
"0345","Completed high school"
"0346",NA
"0347",NA
"0348","Completed college/grad"
"0349","Some college, tech"
"0350","Some college, tech"
"0351","Completed high school"
"0352",NA
"0353",NA
"0354",NA
"0355","Completed high school"
"0356",NA
"0357","Completed high school"
"0358","Completed college/grad"
"0359",NA
"0360",NA
"0361",NA
"0362","Completed college/grad"
"0363","Less than high school"
"0364","Less than high school"
"0365","Some college, tech"
"0366","Some college, tech"
"0367","Completed high school"
"0368","Some college, tech"
"0369",NA
"0370","Completed high school"
"0371",NA
"0372",NA
"0373",NA
"0374",NA
"0375",NA
"0376",NA
"0377","Completed high school"
"0378",NA
"0379","Completed high school"
"0380","Completed college/grad"
"0381",NA
"0382","Some college, tech"
"0383","Some college, tech"
"0384","Some college, tech"
"0385","Some college, tech"
"0386","Some college, tech"
"0387","Completed high school"
"0388","Some college, tech"
"0389",NA
"0390",NA
"0391","Some college, tech"
"0392","Less than high school"
"0393","Completed college/grad"
"0394","Less than high school"
"0395",NA
"0396","Less than high school"
"0397","Some college, tech"
"0398",NA
"0399",NA
"0400","Completed college/grad"
"0401",NA
"0402","Some college, tech"
"0403","Completed high school"
"0404","Some college, tech"
"0405","Some college, tech"
"0406","Less than high school"
"0407","Some college, tech"
"0408",NA
"0409","Some college, tech"
"0410","Some college, tech"
"0411",NA
"0412",NA
"0413",NA
"0414","Some college, tech"
"0415",NA
"0416","Completed high school"
"0417",NA
"0418","Less than high school"
"0419","Some college, tech"
"0420","Completed high school"
"0421","Less than high school"
"0422",NA
"0423",NA
"0424","Some college, tech"
"0425","Some college, tech"
"0426",NA
"0427","Some college, tech"
"0428",NA
"0429",NA
"0430",NA
"0431",NA
"0432",NA
"0433",NA
"0434","Completed high school"
"0435",NA
