"idnum","father_fin_security_w234","mother_fin_security_w2345"
"0001","Yes","Yes"
"0002","Yes","Yes"
"0003","Yes","Yes"
"0004","No","No"
"0005",NA,"Yes"
"0006",NA,"Yes"
"0007",NA,"No"
"0008","No","Yes"
"0009","Yes","Yes"
"0010",NA,"No"
"0011","Yes","Yes"
"0012","Yes","Yes"
"0013","Yes","Yes"
"0014","Yes","Yes"
"0015","Yes","Yes"
"0016","No","No"
"0017",NA,NA
"0018","Yes","Yes"
"0019",NA,"Yes"
"0020","Yes","No"
"0021","Yes","No"
"0022","No","Yes"
"0023","Yes","Yes"
"0024","No","Yes"
"0025","Yes","Yes"
"0026",NA,"No"
"0027","Yes","Yes"
"0028","No","Yes"
"0029","Yes","Yes"
"0030","Yes","Yes"
"0031","Yes","Yes"
"0032","No","No"
"0033",NA,"Yes"
"0034","No","Yes"
"0035","No","No"
"0036",NA,"Yes"
"0037","Yes","Yes"
"0038","No","No"
"0039",NA,"Yes"
"0040","Yes","Yes"
"0041","Yes","Yes"
"0042",NA,"Yes"
"0043",NA,"Yes"
"0044",NA,"Yes"
"0045","Yes","Yes"
"0046","Yes","Yes"
"0047","No","Yes"
"0048",NA,"Yes"
"0049","No","No"
"0050",NA,NA
"0051","No","No"
"0052","Yes","Yes"
"0053","No","Yes"
"0054","No","No"
"0055",NA,"No"
"0056","No","No"
"0057",NA,"Yes"
"0058","No","No"
"0059","No","No"
"0060","No","Yes"
"0061","No","Yes"
"0062","Yes","Yes"
"0063","No","No"
"0064","No","Yes"
"0065",NA,"No"
"0066","No","No"
"0067","Yes","Yes"
"0068","Yes","Yes"
"0069","No","Yes"
"0070","No","No"
"0071",NA,"Yes"
"0072",NA,"No"
"0073",NA,NA
"0074","No","No"
"0075","Yes","Yes"
"0076","No","No"
"0077","Yes","Yes"
"0078",NA,NA
"0079","No","No"
"0080","Yes","Yes"
"0081","Yes","Yes"
"0082","Yes","Yes"
"0083","Yes","No"
"0084","No","Yes"
"0085","No","No"
"0086",NA,"Yes"
"0087",NA,"Yes"
"0088","No","No"
"0089","Yes","Yes"
"0090","Yes","No"
"0091","Yes","No"
"0092","No","No"
"0093","No","No"
"0094",NA,"No"
"0095",NA,"Yes"
"0096","Yes","Yes"
"0097","No","Yes"
"0098",NA,"Yes"
"0099","No","Yes"
"0100","Yes","Yes"
"0101","No","Yes"
"0102","Yes","Yes"
"0103","No","Yes"
"0104","No","Yes"
"0105","No","No"
"0106","No","No"
"0107","No","No"
"0108","No","No"
"0109","Yes","Yes"
"0110",NA,"No"
"0111",NA,"Yes"
"0112","Yes","Yes"
"0113","Yes","No"
"0114","Yes","Yes"
"0115","No","No"
"0116","Yes","Yes"
"0117","Yes","Yes"
"0118","No","No"
