"idnum","mother_fin_security_w2345"
"0001","Yes"
"0002","Yes"
"0003","Yes"
"0004","No"
"0005","Yes"
"0006","Yes"
"0007","No"
"0008","Yes"
"0009","Yes"
"0010","No"
"0011","Yes"
"0012","Yes"
"0013","Yes"
"0014","Yes"
"0015","Yes"
"0016","No"
"0017",NA
"0018","Yes"
"0019","Yes"
"0020","No"
"0021","No"
"0022","Yes"
"0023","Yes"
"0024","Yes"
"0025","Yes"
"0026","No"
"0027","Yes"
"0028","Yes"
"0029","Yes"
"0030","Yes"
"0031","Yes"
"0032","No"
"0033","Yes"
"0034","Yes"
"0035","No"
"0036","Yes"
"0037","Yes"
"0038","No"
"0039","Yes"
"0040","Yes"
"0041","Yes"
"0042","Yes"
"0043","Yes"
"0044","Yes"
"0045","Yes"
"0046","Yes"
"0047","Yes"
"0048","Yes"
"0049","No"
"0050",NA
"0051","No"
"0052","Yes"
"0053","Yes"
"0054","No"
"0055","No"
"0056","No"
"0057","Yes"
"0058","No"
"0059","No"
"0060","Yes"
"0061","Yes"
"0062","Yes"
"0063","No"
"0064","Yes"
"0065","No"
"0066","No"
"0067","Yes"
"0068","Yes"
"0069","Yes"
"0070","No"
"0071","Yes"
"0072","No"
"0073",NA
"0074","No"
"0075","Yes"
"0076","No"
"0077","Yes"
"0078",NA
"0079","No"
"0080","Yes"
"0081","Yes"
"0082","Yes"
"0083","No"
"0084","Yes"
"0085","No"
"0086","Yes"
"0087","Yes"
"0088","No"
"0089","Yes"
"0090","No"
"0091","No"
"0092","No"
"0093","No"
"0094","No"
"0095","Yes"
"0096","Yes"
"0097","Yes"
"0098","Yes"
"0099","Yes"
"0100","Yes"
"0101","Yes"
"0102","Yes"
"0103","Yes"
"0104","Yes"
"0105","No"
"0106","No"
"0107","No"
"0108","No"
"0109","Yes"
"0110","No"
"0111","Yes"
"0112","Yes"
"0113","No"
"0114","Yes"
"0115","No"
"0116","Yes"
"0117","Yes"
"0118","No"
"0119","Yes"
"0120","No"
"0121","Yes"
"0122","Yes"
"0123","No"
"0124","Yes"
"0125","No"
"0126","Yes"
"0127","No"
"0128","No"
"0129","No"
"0130","Yes"
"0131","Yes"
"0132","Yes"
"0133","Yes"
"0134","No"
"0135","No"
"0136","No"
"0137","Yes"
"0138","Yes"
"0139","Yes"
"0140","Yes"
"0141","No"
"0142","No"
"0143","No"
"0144","Yes"
"0145","No"
"0146","Yes"
"0147","No"
"0148","Yes"
"0149","No"
"0150","Yes"
"0151","Yes"
"0152","Yes"
"0153","Yes"
"0154","Yes"
"0155","No"
"0156","Yes"
"0157","Yes"
"0158","Yes"
"0159","Yes"
"0160","Yes"
"0161","Yes"
"0162","Yes"
"0163","No"
"0164","No"
"0165","No"
"0166","Yes"
"0167","No"
"0168","Yes"
"0169","No"
"0170","Yes"
"0171","Yes"
"0172","No"
"0173","Yes"
"0174","Yes"
"0175","Yes"
"0176","Yes"
"0177","Yes"
"0178","Yes"
"0179","Yes"
"0180","Yes"
"0181","Yes"
"0182","Yes"
"0183","Yes"
"0184","Yes"
"0185",NA
"0186","Yes"
"0187","Yes"
"0188","Yes"
"0189","Yes"
"0190","Yes"
"0191","Yes"
"0192","Yes"
"0193","No"
"0194","Yes"
"0195",NA
"0196","Yes"
"0197","Yes"
"0198","No"
"0199","Yes"
"0200",NA
"0201","No"
"0202","Yes"
"0203","No"
"0204","No"
"0205","Yes"
"0206","Yes"
"0207","No"
"0208",NA
"0209","Yes"
"0210","Yes"
"0211","Yes"
"0212","No"
"0213","Yes"
"0214","No"
"0215","Yes"
"0216","Yes"
"0217","No"
"0218","No"
"0219","Yes"
"0220","No"
"0221","No"
"0222","No"
"0223","No"
"0224","Yes"
"0225","Yes"
"0226","Yes"
"0227","Yes"
"0228","Yes"
"0229","Yes"
"0230","Yes"
"0231","No"
"0232","Yes"
"0233","Yes"
"0234","Yes"
"0235","No"
"0236","No"
"0237","No"
"0238","No"
"0239",NA
"0240","Yes"
"0241","Yes"
"0242","No"
"0243","No"
"0244","Yes"
"0245","Yes"
"0246","No"
"0247","Yes"
"0248","Yes"
"0249","No"
"0250","No"
"0251","No"
"0252","Yes"
"0253","Yes"
"0254","No"
"0255","Yes"
"0256","Yes"
"0257","Yes"
"0258","Yes"
"0259","Yes"
"0260","Yes"
"0261","Yes"
"0262","Yes"
"0263","Yes"
"0264","No"
"0265","Yes"
"0266","Yes"
"0267","Yes"
"0268","Yes"
"0269",NA
"0270","Yes"
"0271","No"
"0272","Yes"
"0273","Yes"
"0274","Yes"
"0275","No"
"0276","No"
"0277","Yes"
"0278","No"
"0279","No"
"0280","Yes"
"0281","Yes"
"0282","Yes"
"0283","No"
"0284","No"
"0285","Yes"
"0286","No"
"0287","Yes"
"0288","No"
"0289","Yes"
"0290",NA
"0291","No"
"0292","Yes"
"0293","Yes"
"0294","No"
"0295","No"
"0296","No"
"0297","Yes"
"0298","Yes"
"0299","Yes"
"0300","No"
"0301","No"
"0302","No"
"0303","Yes"
"0304","Yes"
"0305","Yes"
"0306","Yes"
"0307","No"
"0308","Yes"
"0309","No"
"0310","Yes"
"0311","Yes"
"0312","Yes"
"0313","Yes"
"0314","No"
"0315","Yes"
"0316","Yes"
"0317","No"
"0318","Yes"
"0319","Yes"
"0320","Yes"
"0321","No"
"0322","Yes"
"0323","No"
"0324","Yes"
"0325","No"
"0326","No"
"0327","Yes"
"0328","No"
"0329","No"
"0330","Yes"
"0331","Yes"
"0332","No"
"0333","Yes"
"0334","No"
"0335","Yes"
"0336","Yes"
"0337","Yes"
"0338","Yes"
"0339","Yes"
"0340","Yes"
"0341","Yes"
"0342","Yes"
"0343","Yes"
"0344","Yes"
"0345","Yes"
"0346","No"
"0347","Yes"
"0348","Yes"
"0349","Yes"
"0350","No"
"0351","Yes"
"0352","Yes"
"0353","No"
"0354","No"
"0355","Yes"
"0356","Yes"
"0357","No"
"0358","No"
"0359","No"
"0360","No"
"0361","Yes"
"0362","Yes"
"0363","Yes"
"0364","Yes"
"0365","No"
"0366","Yes"
"0367","Yes"
"0368",NA
"0369","Yes"
"0370","Yes"
"0371","No"
"0372","No"
"0373","Yes"
"0374","No"
"0375","No"
"0376","No"
"0377","Yes"
"0378","Yes"
"0379","Yes"
"0380","Yes"
"0381","Yes"
"0382","Yes"
"0383","Yes"
"0384","No"
"0385","No"
"0386","No"
"0387","Yes"
"0388","Yes"
"0389","Yes"
"0390","No"
"0391","Yes"
"0392","Yes"
"0393","Yes"
"0394","Yes"
"0395",NA
"0396","No"
"0397","No"
