"idnum","fparents_edustatus_w2345","mparents_edustatus_w2345"
"0001","At least one parent attended college","At least one parent attended college"
"0002","Neither parent attended college","Neither parent attended college"
"0003","At least one parent attended college","At least one parent attended college"
"0004","Neither parent attended college","Neither parent attended college"
"0005",NA,"Neither parent attended college"
"0006",NA,"Neither parent attended college"
"0007",NA,"Neither parent attended college"
"0008","Neither parent attended college","Neither parent attended college"
"0009","Neither parent attended college","Neither parent attended college"
"0010",NA,"Neither parent attended college"
"0011","At least one parent attended college","At least one parent attended college"
"0012","Neither parent attended college","At least one parent attended college"
"0013","Neither parent attended college","Neither parent attended college"
"0014","Neither parent attended college","At least one parent attended college"
"0015","At least one parent attended college","At least one parent attended college"
"0016",NA,"Neither parent attended college"
"0017",NA,NA
"0018","At least one parent attended college","Neither parent attended college"
"0019",NA,NA
"0020","Neither parent attended college","Neither parent attended college"
"0021","Neither parent attended college","Neither parent attended college"
"0022",NA,"Neither parent attended college"
"0023","At least one parent attended college","Neither parent attended college"
"0024","At least one parent attended college","At least one parent attended college"
"0025","Neither parent attended college","Neither parent attended college"
"0026",NA,"Neither parent attended college"
"0027",NA,"Neither parent attended college"
"0028","Neither parent attended college","At least one parent attended college"
"0029","At least one parent attended college","At least one parent attended college"
"0030","At least one parent attended college","At least one parent attended college"
"0031","At least one parent attended college","Neither parent attended college"
"0032",NA,"Neither parent attended college"
"0033",NA,NA
"0034","At least one parent attended college","Neither parent attended college"
"0035","Neither parent attended college","Neither parent attended college"
"0036",NA,"At least one parent attended college"
"0037","Neither parent attended college","At least one parent attended college"
"0038","Neither parent attended college",NA
"0039",NA,NA
"0040","At least one parent attended college","Neither parent attended college"
"0041","At least one parent attended college","Neither parent attended college"
"0042",NA,"Neither parent attended college"
"0043",NA,"At least one parent attended college"
"0044",NA,"Neither parent attended college"
"0045","Neither parent attended college","At least one parent attended college"
"0046",NA,"At least one parent attended college"
"0047","Neither parent attended college","At least one parent attended college"
"0048",NA,"Neither parent attended college"
"0049","At least one parent attended college","Neither parent attended college"
"0050",NA,NA
"0051","At least one parent attended college","At least one parent attended college"
"0052","At least one parent attended college","Neither parent attended college"
"0053","At least one parent attended college","Neither parent attended college"
"0054","At least one parent attended college","At least one parent attended college"
"0055",NA,NA
"0056","Neither parent attended college","Neither parent attended college"
"0057",NA,"Neither parent attended college"
"0058","Neither parent attended college","At least one parent attended college"
"0059","Neither parent attended college","Neither parent attended college"
"0060","At least one parent attended college","Neither parent attended college"
"0061","Neither parent attended college","Neither parent attended college"
"0062",NA,"At least one parent attended college"
"0063","Neither parent attended college","Neither parent attended college"
"0064","Neither parent attended college","Neither parent attended college"
"0065",NA,"Neither parent attended college"
"0066","At least one parent attended college","At least one parent attended college"
"0067","Neither parent attended college","Neither parent attended college"
"0068","Neither parent attended college","Neither parent attended college"
"0069","Neither parent attended college","Neither parent attended college"
"0070","Neither parent attended college",NA
"0071",NA,"Neither parent attended college"
"0072",NA,"Neither parent attended college"
"0073",NA,NA
"0074","At least one parent attended college","Neither parent attended college"
"0075",NA,NA
"0076","Neither parent attended college","Neither parent attended college"
"0077","At least one parent attended college","At least one parent attended college"
"0078",NA,NA
"0079",NA,"Neither parent attended college"
