"idnum","hs_avg_score"
"0001",2.75
"0002",2.5
"0003",3
"0004",4
"0005",NA
"0006",3
"0007",NA
"0008",2.25
"0009",NA
"0010",3.25
"0011",3.25
"0012",2.5
"0013",2.5
"0014",NA
"0015",2.5
"0016",3.75
"0017",NA
"0018",1.25
"0019",1.75
"0020",NA
"0021",1.33333333333333
"0022",3.25
"0023",3.25
"0024",4
"0025",2
"0026",NA
"0027",2.5
"0028",2.25
"0029",NA
"0030",3.25
"0031",3.25
"0032",NA
"0033",2.75
"0034",NA
"0035",NA
"0036",3.75
"0037",NA
"0038",NA
"0039",3.25
"0040",1.75
"0041",1.5
"0042",2.25
"0043",1.5
"0044",3.75
"0045",3.33333333333333
"0046",2
"0047",NA
"0048",2.25
"0049",4
"0050",NA
"0051",NA
"0052",3.25
"0053",2
"0054",4
"0055",NA
"0056",3.5
"0057",NA
"0058",3.33333333333333
"0059",2.33333333333333
"0060",2
"0061",3.5
"0062",3.25
"0063",3
"0064",3
"0065",NA
"0066",3.75
"0067",NA
"0068",2.25
"0069",NA
"0070",NA
"0071",3.75
"0072",3.5
"0073",NA
"0074",3.75
"0075",NA
"0076",2.75
"0077",2.75
"0078",NA
"0079",NA
"0080",4
"0081",3.25
"0082",NA
"0083",3
"0084",3.25
"0085",3.75
"0086",3
"0087",2.66666666666667
"0088",2.75
"0089",NA
"0090",3.25
"0091",NA
"0092",NA
"0093",2.5
"0094",4
"0095",1.5
"0096",2.5
"0097",3.5
"0098",3.25
"0099",NA
"0100",3.75
"0101",2.75
"0102",NA
"0103",4
"0104",2.5
"0105",3.25
"0106",NA
"0107",1.75
"0108",4
"0109",2.75
"0110",NA
"0111",NA
"0112",3.25
"0113",3.25
"0114",2
"0115",NA
"0116",3.75
"0117",3.5
"0118",NA
"0119",3.25
"0120",NA
"0121",NA
"0122",4
"0123",1.75
"0124",NA
"0125",2
"0126",1.75
"0127",NA
"0128",2
"0129",2.5
"0130",NA
"0131",1
"0132",2.5
"0133",3.5
"0134",NA
"0135",NA
"0136",2.5
"0137",NA
"0138",2
"0139",2.75
"0140",1.5
"0141",4
"0142",2
"0143",2.25
"0144",2.25
"0145",3.66666666666667
"0146",3.5
"0147",NA
"0148",2
"0149",4
"0150",3.25
"0151",3.5
"0152",2.5
"0153",2.25
"0154",2.5
"0155",4
"0156",NA
"0157",2.75
"0158",3
"0159",NA
"0160",2.5
"0161",1.5
"0162",1.75
"0163",4
"0164",NA
"0165",3.25
"0166",3.75
"0167",3.33333333333333
"0168",3.25
"0169",NA
"0170",3.25
"0171",1.33333333333333
"0172",3.5
"0173",2.5
"0174",3.25
"0175",4
"0176",NA
"0177",4
"0178",1.5
"0179",2.33333333333333
"0180",3.25
"0181",1.75
"0182",3.5
"0183",2.5
"0184",2.25
"0185",NA
"0186",NA
"0187",NA
"0188",3.25
"0189",2.33333333333333
"0190",NA
"0191",NA
"0192",1.75
"0193",3
"0194",3
"0195",2
"0196",4
"0197",3
"0198",3
"0199",3.5
"0200",NA
"0201",NA
"0202",NA
"0203",2
"0204",3.25
"0205",4
"0206",2
"0207",3.25
"0208",NA
"0209",4
"0210",3
"0211",2.5
"0212",3.75
"0213",3.75
"0214",NA
"0215",NA
"0216",3.25
"0217",2
"0218",2.5
"0219",2.66666666666667
"0220",NA
"0221",2
"0222",3.33333333333333
"0223",NA
"0224",NA
"0225",3.25
"0226",2.25
"0227",NA
"0228",1.66666666666667
"0229",3.25
"0230",4
"0231",NA
"0232",1.5
"0233",2
"0234",3.5
"0235",3.75
"0236",3.25
"0237",3.5
"0238",NA
"0239",NA
"0240",3
"0241",3.25
"0242",2.5
"0243",3.5
"0244",2.25
"0245",1.5
"0246",NA
"0247",3.75
"0248",NA
"0249",3.5
"0250",3.75
"0251",3.5
"0252",4
"0253",NA
"0254",2
"0255",3.5
"0256",2
"0257",2.33333333333333
"0258",4
"0259",NA
"0260",NA
"0261",2.5
"0262",2.75
"0263",2.5
"0264",3.25
"0265",2.75
"0266",2.75
"0267",1.33333333333333
"0268",3.25
"0269",NA
"0270",NA
"0271",NA
"0272",NA
"0273",3.25
"0274",NA
"0275",1.5
"0276",1.75
"0277",3
"0278",2.5
"0279",NA
"0280",2
"0281",2.5
"0282",2.75
"0283",NA
"0284",3.5
"0285",4
"0286",NA
"0287",2.75
"0288",1.66666666666667
"0289",3
"0290",NA
"0291",3
"0292",3
"0293",1.75
"0294",NA
"0295",NA
"0296",NA
"0297",3
"0298",1.5
"0299",2.5
"0300",NA
"0301",NA
"0302",2.25
"0303",2.75
"0304",2.5
"0305",3
"0306",3
"0307",3.75
"0308",NA
"0309",4
"0310",3.5
"0311",NA
"0312",2.25
"0313",2.75
"0314",NA
"0315",3.75
"0316",3.75
"0317",NA
"0318",2
"0319",3.25
"0320",2.5
"0321",4
"0322",2.75
"0323",3.5
"0324",1.75
"0325",2.5
"0326",3.5
"0327",3
"0328",3.33333333333333
"0329",NA
"0330",NA
"0331",3.25
"0332",2.5
"0333",3.25
"0334",3.25
"0335",NA
"0336",4
"0337",4
"0338",2.66666666666667
"0339",3.75
"0340",NA
"0341",2.5
"0342",NA
"0343",3.33333333333333
"0344",2.5
"0345",3.5
"0346",NA
"0347",2.75
"0348",4
"0349",3.25
"0350",2.75
"0351",2.5
"0352",NA
"0353",NA
"0354",NA
"0355",3.25
"0356",NA
"0357",3.25
"0358",2
"0359",2.5
"0360",3.5
"0361",2.75
"0362",2.5
"0363",2.75
"0364",NA
"0365",2
"0366",3.25
"0367",2.25
"0368",NA
"0369",NA
"0370",2.5
"0371",NA
"0372",NA
"0373",NA
"0374",NA
"0375",NA
"0376",NA
"0377",2.5
"0378",3.25
"0379",3.25
"0380",3.5
"0381",NA
"0382",2.5
"0383",3.5
"0384",4
"0385",3
"0386",3.25
"0387",2.25
"0388",2.5
"0389",3.33333333333333
"0390",1.25
"0391",4
"0392",NA
"0393",3.5
"0394",3.25
"0395",NA
"0396",NA
"0397",4
"0398",NA
"0399",2.75
"0400",NA
"0401",3.5
"0402",3
"0403",2.75
"0404",3.66666666666667
"0405",2.75
"0406",3.33333333333333
"0407",3.75
"0408",NA
"0409",NA
"0410",3.5
"0411",2.25
"0412",NA
"0413",NA
"0414",3.75
"0415",2.5
"0416",3.25
"0417",3.5
"0418",2.25
"0419",2.5
"0420",3
"0421",NA
"0422",NA
"0423",NA
"0424",3.5
"0425",3.75
"0426",NA
"0427",2.75
"0428",NA
"0429",NA
"0430",3.5
"0431",2.25
"0432",NA
"0433",2.5
"0434",3.5
"0435",NA
"0436",2.5
"0437",NA
"0438",2.25
"0439",2.5
"0440",NA
"0441",3
"0442",3.75
"0443",3.25
"0444",2.66666666666667
"0445",NA
"0446",3
"0447",NA
"0448",NA
"0449",3.25
"0450",2.25
"0451",2
"0452",3.25
"0453",3.5
"0454",3.25
"0455",2.75
"0456",3.5
"0457",3.5
"0458",NA
"0459",3.5
"0460",3
"0461",NA
"0462",NA
"0463",2.5
"0464",NA
"0465",3
"0466",2
"0467",NA
"0468",2.25
"0469",2
"0470",3.25
"0471",2.5
"0472",NA
"0473",4
"0474",3.5
"0475",2.75
"0476",2.5
"0477",NA
"0478",2.75
"0479",NA
"0480",2.75
"0481",4
"0482",3.5
"0483",NA
"0484",NA
"0485",NA
"0486",3
"0487",4
"0488",3
"0489",NA
"0490",3
"0491",2.25
"0492",2.75
"0493",2.75
"0494",NA
"0495",3.5
"0496",NA
"0497",3
"0498",2.66666666666667
"0499",NA
"0500",2.5
"0501",3.25
