"idnum","k6b20a","k6b20b","k6b20c","k6b20d"
"0001","B","B","C","B"
"0002","C","A","C","C"
"0003","B","B","A","C"
"0004","A","A","A","A"
"0005",NA,NA,NA,NA
"0006","B","B","B","B"
"0007",NA,NA,NA,NA
"0008","C","C","C","B"
"0009",NA,NA,NA,NA
"0010","B","B","B","A"
"0011","B","B","B","A"
"0012","C","B","C","B"
"0013","B","B","B","D or lower"
"0014",NA,NA,NA,NA
"0015","C","C","B","B"
"0016","B","A","A","A"
"0017",NA,NA,NA,NA
"0018","D or lower","C","D or lower","D or lower"
"0019","B","C","D or lower","D or lower"
"0020",NA,NA,NA,NA
"0021","C","D or lower",NA,"D or lower"
"0022","B","A","B","B"
"0023","A","C","B","A"
"0024","A","A","A","A"
"0025","C","B","D or lower","C"
"0026",NA,NA,NA,NA
"0027","B","C","C","B"
"0028","B","D or lower","C","B"
"0029",NA,NA,NA,NA
"0030","A","C","A","B"
"0031","A","B","B","B"
"0032",NA,NA,NA,NA
"0033","A","C","C","B"
"0034",NA,NA,NA,NA
"0035",NA,NA,NA,NA
"0036","A","B","A","A"
"0037",NA,NA,NA,NA
"0038",NA,NA,NA,NA
"0039","B","B","A","B"
"0040","B","D or lower","C","D or lower"
"0041","D or lower","D or lower","C","C"
"0042","C","C","C","B"
"0043","C","C","D or lower","D or lower"
"0044","B","A","A","A"
"0045","B","A","B",NA
"0046","D or lower","C","C","B"
"0047",NA,NA,NA,NA
"0048","D or lower","A","B","D or lower"
"0049","A","A","A","A"
"0050",NA,NA,NA,NA
"0051",NA,NA,NA,NA
"0052","B","B","B","A"
"0053",NA,"C","D or lower","B"
"0054","A","A","A","A"
"0055",NA,NA,NA,NA
"0056","B","B","A","A"
"0057",NA,NA,NA,NA
"0058","A","A",NA,"C"
"0059",NA,"B","C","C"
"0060","C","C",NA,"C"
"0061","A","A","B","B"
"0062","A","A","B","C"
"0063","B","B","C","A"
"0064","B","B","B","B"
"0065",NA,NA,NA,NA
"0066","A","A","B","A"
"0067",NA,NA,NA,NA
"0068","B","C","D or lower","B"
"0069",NA,NA,NA,NA
"0070",NA,NA,NA,NA
"0071","A","A","A","B"
"0072","B","A","A","B"
"0073",NA,NA,NA,NA
"0074","A","B","A","A"
"0075",NA,NA,NA,NA
"0076","C","C","B","A"
"0077","A","B","C","C"
"0078",NA,NA,NA,NA
"0079",NA,NA,NA,NA
"0080","A","A","A","A"
"0081","A","B","B","B"
"0082",NA,NA,NA,NA
"0083","A","B","B","C"
"0084","B","B","B","A"
"0085","A","B","A","A"
"0086","C","A","B","B"
"0087","C","B",NA,"B"
