"idnum","cm1edu","cf1edu","cm1povca","cf1povca","povstatus","edustatus","f4b7a","m4b7a","child_attend_kindergarten"
"0001",3,3,4,3,"high-income","At least one parent attended college",-6,-6,NA
"0002",1,1,1,-9,"low-income","Neither parent attended college",-6,1,"yes"
"0003",3,3,5,5,"high-income","At least one parent attended college",-6,1,"yes"
"0004",2,2,3,3,"low-income","Neither parent attended college",2,1,"no"
"0005",2,-3,1,-9,"low-income","Neither parent attended college",-9,-6,NA
"0006",2,2,3,-9,"low-income","Neither parent attended college",-9,-6,NA
"0007",1,1,2,5,"high-income","Neither parent attended college",-9,-9,NA
"0008",1,2,3,3,"low-income","Neither parent attended college",-6,-6,NA
"0009",3,1,3,3,"low-income","At least one parent attended college",-6,-5,NA
"0010",3,2,5,-9,"high-income","At least one parent attended college",-9,2,"no"
"0011",3,2,3,4,"high-income","At least one parent attended college",1,-6,"yes"
"0012",3,2,1,1,"low-income","At least one parent attended college",-6,2,"no"
"0013",3,1,3,4,"high-income","At least one parent attended college",-9,2,"no"
"0014",3,3,5,5,"high-income","At least one parent attended college",-6,1,"yes"
"0015",3,2,2,4,"high-income","At least one parent attended college",-6,-6,NA
"0016",3,3,5,5,"high-income","At least one parent attended college",-9,2,"no"
"0017",3,3,4,-9,"high-income","At least one parent attended college",-9,-9,NA
"0018",3,3,3,3,"low-income","At least one parent attended college",2,2,"no"
"0019",1,2,2,-9,"low-income","Neither parent attended college",-9,-6,NA
"0020",3,2,5,5,"high-income","At least one parent attended college",1,2,"no"
"0021",3,3,4,4,"high-income","At least one parent attended college",2,2,"no"
"0022",2,4,4,1,"high-income","At least one parent attended college",-9,-6,NA
"0023",1,3,3,3,"low-income","At least one parent attended college",-6,2,"no"
"0024",4,4,4,-9,"high-income","At least one parent attended college",-9,2,"no"
"0025",3,1,2,5,"high-income","At least one parent attended college",-6,-9,NA
"0026",1,1,4,4,"high-income","Neither parent attended college",-9,-9,NA
"0027",2,1,1,3,"low-income","Neither parent attended college",1,-6,"yes"
"0028",2,2,1,1,"low-income","Neither parent attended college",1,-9,"yes"
"0029",4,4,5,-9,"high-income","At least one parent attended college",-6,-6,NA
"0030",3,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0031",2,2,3,3,"low-income","Neither parent attended college",-6,-6,NA
"0032",2,3,3,3,"low-income","At least one parent attended college",2,-9,"no"
"0033",3,3,2,-9,"low-income","At least one parent attended college",-9,2,"no"
"0034",2,4,3,3,"low-income","At least one parent attended college",-9,1,"yes"
"0035",4,4,5,5,"high-income","At least one parent attended college",-9,-9,NA
"0036",3,3,4,-9,"high-income","At least one parent attended college",-9,-5,NA
"0037",3,1,5,-9,"high-income","At least one parent attended college",-6,1,"yes"
"0038",2,4,4,4,"high-income","At least one parent attended college",2,2,"no"
"0039",4,2,4,-9,"high-income","At least one parent attended college",-9,-6,NA
"0040",1,1,1,1,"low-income","Neither parent attended college",-6,2,"no"
"0041",3,2,3,3,"low-income","At least one parent attended college",-6,-6,NA
"0042",2,-3,3,-9,"low-income","Neither parent attended college",-9,2,"no"
"0043",3,3,4,-9,"high-income","At least one parent attended college",-9,2,"no"
"0044",1,2,2,-9,"low-income","Neither parent attended college",-9,2,"no"
"0045",3,1,3,-9,"low-income","At least one parent attended college",-9,2,"no"
"0046",1,1,3,4,"high-income","Neither parent attended college",-6,2,"no"
"0047",1,2,4,4,"high-income","Neither parent attended college",-9,2,"no"
"0048",1,1,3,-9,"low-income","Neither parent attended college",-9,-6,NA
"0049",3,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"0050",3,2,5,-9,"high-income","At least one parent attended college",-9,-9,NA
"0051",4,4,5,5,"high-income","At least one parent attended college",-9,2,"no"
"0052",2,2,2,-9,"low-income","Neither parent attended college",-6,-6,NA
"0053",3,3,3,5,"high-income","At least one parent attended college",-6,-6,NA
"0054",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0055",3,2,2,2,"low-income","At least one parent attended college",-9,-9,NA
"0056",1,1,1,1,"low-income","Neither parent attended college",1,-9,"yes"
