"idnum","child_attend_kindergarten","povstatus"
"0001",NA,"high-income"
"0002","yes","low-income"
"0003","yes","high-income"
"0004","no","low-income"
"0005",NA,"low-income"
"0006",NA,"low-income"
"0007",NA,"high-income"
"0008",NA,"low-income"
"0009",NA,"low-income"
"0010","no","high-income"
"0011","yes","high-income"
"0012","no","low-income"
"0013","no","high-income"
"0014","yes","high-income"
"0015",NA,"high-income"
"0016","no","high-income"
"0017",NA,"high-income"
"0018","no","low-income"
"0019",NA,"low-income"
"0020","no","high-income"
"0021","no","high-income"
"0022",NA,"high-income"
"0023","no","low-income"
"0024","no","high-income"
"0025",NA,"high-income"
"0026",NA,"high-income"
"0027","yes","low-income"
"0028","yes","low-income"
"0029",NA,"high-income"
"0030",NA,"high-income"
"0031",NA,"low-income"
"0032","no","low-income"
"0033","no","low-income"
"0034","yes","low-income"
"0035",NA,"high-income"
"0036",NA,"high-income"
"0037","yes","high-income"
"0038","no","high-income"
"0039",NA,"high-income"
"0040","no","low-income"
"0041",NA,"low-income"
"0042","no","low-income"
"0043","no","high-income"
"0044","no","low-income"
"0045","no","low-income"
"0046","no","high-income"
"0047","no","high-income"
"0048",NA,"low-income"
"0049","no","high-income"
"0050",NA,"high-income"
"0051","no","high-income"
"0052",NA,"low-income"
"0053",NA,"high-income"
"0054",NA,"high-income"
"0055",NA,"low-income"
"0056","yes","low-income"
"0057",NA,"low-income"
"0058","no","high-income"
"0059",NA,"high-income"
"0060",NA,"low-income"
"0061","yes","low-income"
"0062",NA,"low-income"
"0063","no","low-income"
"0064","no","low-income"
"0065",NA,"low-income"
"0066",NA,"high-income"
"0067",NA,"low-income"
"0068","no","low-income"
"0069",NA,"high-income"
"0070",NA,"high-income"
"0071",NA,"high-income"
"0072","yes","high-income"
"0073",NA,"low-income"
"0074",NA,"high-income"
"0075",NA,"high-income"
"0076",NA,"low-income"
"0077",NA,"high-income"
"0078",NA,"low-income"
"0079",NA,"low-income"
"0080","no","high-income"
"0081",NA,"high-income"
"0082","yes","low-income"
"0083","no","low-income"
"0084",NA,"high-income"
"0085",NA,"low-income"
"0086",NA,"low-income"
"0087",NA,"high-income"
"0088",NA,"low-income"
"0089",NA,"low-income"
"0090","no","low-income"
"0091",NA,"high-income"
"0092",NA,"low-income"
