"idnum","father_mothly_pretax_inc_w1","mother_mothly_pretax_inc_w1","father_mothly_saved_inc_w1","mother_mothly_saved_inc_w1","child_gender_w1","father_in_jail_w1","parents_edustatus_w1","cm1ethrace_w1","cf1ethrace_w1","marry_w1","cm1span_w1","cf1span_w1","cm1age_w1","cf1age_w1"
"0001",8,5,"Just enough",NA,"Male","No","At least one parent attended college","hispanic","black",NA,"No","No",26,29
"0002",NA,2,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,25,NA
"0003",8,NA,"Just enough","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",23,26
"0004",6,NA,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",24,27
"0005",NA,1,NA,"Just enough","Male","No","Neither parent attended college","white","hispanic","No","No",NA,24,NA
"0006",NA,4,NA,"Just enough","Male","No","Neither parent attended college","black","black","Yes","No",NA,26,NA
"0007",NA,3,NA,NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",32,37
"0008",NA,NA,"Just enough","Not enough","Male","No","Neither parent attended college","black","black","Yes","No","No",21,19
"0009",3,6,"Just enough",NA,"Male","No","At least one parent attended college",NA,NA,NA,NA,"No",24,24
"0010",NA,7,NA,"Some","Female","No","At least one parent attended college","black","black",NA,"No",NA,33,NA
"0011",5,NA,"Some","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",18,21
"0012",5,1,"Some","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",19,18
"0013",6,4,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",18,21
"0014",8,7,"Some","Just enough","Male","No","At least one parent attended college","white","black",NA,"No","No",23,22
"0015",7,6,"Not enough","Just enough","Male","No","At least one parent attended college","black","black","No","No","No",22,22
"0016",6,8,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",19,24
"0017",NA,6,NA,"Some","Female","No","At least one parent attended college","black","hispanic",NA,"No",NA,29,NA
"0018",8,4,"Some","Not enough","Male","No","At least one parent attended college","white","white",NA,"No","No",28,27
"0019",NA,3,NA,"Just enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,29,NA
"0020",7,7,"Just enough","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",26,28
"0021",9,8,"Just enough",NA,"Female","No","At least one parent attended college","hispanic",NA,NA,"No","No",22,25
"0022",NA,NA,"Not enough","Not enough","Female","No","At least one parent attended college","black","black",NA,"No","No",19,24
"0023",4,3,"Just enough","Just enough","Female","No","At least one parent attended college",NA,"hispanic",NA,"No","No",19,21
"0024",NA,6,NA,"Just enough","Female","No","At least one parent attended college","hispanic","black",NA,"No",NA,33,NA
"0025",NA,NA,NA,"Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",22,26
"0026",NA,NA,"Not enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",18,31
"0027",6,1,"Not enough","Not enough","Female","No","Neither parent attended college","black","black","Yes","No","No",20,19
"0028",NA,1,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",39,44
"0029",NA,9,NA,"Just enough","Male","No","At least one parent attended college","white","white",NA,"No",NA,31,NA
"0030",8,9,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",18,19
"0031",NA,5,"Just enough","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",18,18
"0032",NA,NA,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",29,29
"0033",NA,4,NA,"Some","Female","No","At least one parent attended college","black","black","No","No",NA,18,NA
"0034",NA,6,"Some","Just enough","Male","No","At least one parent attended college","black","black","No","No","No",29,28
"0035",9,9,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",30,29
"0036",NA,5,NA,NA,"Male",NA,"At least one parent attended college","white","white",NA,"No",NA,24,NA
