"idnum","f_quit_w4","m_quit_w4"
"0001",NA,NA
"0002",NA,NA
"0003",NA,NA
"0004",NA,NA
"0005",NA,NA
"0006",NA,NA
"0007",NA,NA
"0008",NA,NA
"0009",NA,NA
"0010",NA,NA
"0011",NA,NA
"0012",NA,NA
"0013",NA,NA
"0014",NA,NA
"0015",NA,NA
"0016",NA,NA
"0017",NA,NA
"0018",NA,NA
"0019",NA,NA
"0020",NA,NA
"0021",NA,NA
"0022",NA,NA
"0023","no",NA
"0024",NA,NA
"0025",NA,NA
"0026",NA,NA
"0027","no","no"
"0028","no",NA
"0029",NA,NA
"0030",NA,NA
"0031",NA,NA
"0032",NA,NA
"0033",NA,NA
"0034",NA,NA
"0035",NA,NA
"0036",NA,NA
"0037",NA,NA
"0038",NA,NA
"0039",NA,NA
"0040",NA,NA
"0041",NA,NA
"0042",NA,NA
"0043",NA,NA
"0044",NA,NA
"0045",NA,"no"
"0046","no",NA
"0047",NA,"no"
"0048",NA,NA
"0049",NA,NA
"0050",NA,NA
"0051",NA,NA
"0052",NA,NA
"0053",NA,NA
"0054","no",NA
"0055",NA,NA
"0056",NA,NA
"0057",NA,NA
"0058",NA,NA
"0059",NA,NA
"0060",NA,NA
"0061",NA,NA
"0062",NA,NA
"0063",NA,NA
"0064",NA,NA
"0065",NA,NA
"0066",NA,NA
"0067",NA,"no"
"0068",NA,NA
"0069",NA,NA
"0070",NA,NA
"0071",NA,NA
"0072",NA,NA
"0073",NA,NA
"0074",NA,NA
"0075",NA,NA
"0076",NA,NA
"0077",NA,NA
"0078",NA,NA
"0079",NA,"no"
"0080",NA,NA
"0081",NA,NA
"0082",NA,NA
"0083",NA,NA
"0084",NA,NA
"0085",NA,NA
"0086",NA,NA
"0087",NA,NA
"0088","no",NA
"0089",NA,NA
"0090",NA,NA
"0091",NA,NA
"0092",NA,NA
"0093",NA,NA
"0094",NA,NA
"0095",NA,NA
"0096",NA,"no"
"0097",NA,NA
"0098",NA,NA
"0099",NA,NA
"0100",NA,NA
"0101",NA,NA
"0102",NA,NA
"0103",NA,NA
"0104",NA,NA
"0105",NA,NA
"0106",NA,NA
"0107","no",NA
"0108",NA,NA
"0109",NA,NA
"0110",NA,NA
"0111",NA,NA
"0112",NA,NA
"0113",NA,"no"
"0114",NA,NA
"0115","no",NA
"0116",NA,NA
"0117",NA,NA
"0118",NA,NA
"0119",NA,NA
"0120",NA,NA
"0121",NA,NA
"0122",NA,NA
"0123",NA,NA
"0124",NA,NA
"0125","no",NA
"0126",NA,NA
"0127",NA,NA
"0128",NA,NA
"0129",NA,NA
"0130",NA,NA
"0131",NA,"no"
"0132",NA,NA
"0133",NA,NA
"0134",NA,NA
"0135",NA,NA
"0136",NA,NA
"0137",NA,NA
"0138",NA,NA
"0139",NA,NA
"0140",NA,NA
"0141",NA,NA
"0142",NA,NA
"0143",NA,NA
"0144",NA,NA
"0145",NA,NA
"0146",NA,NA
"0147",NA,"no"
"0148",NA,NA
"0149",NA,NA
"0150",NA,NA
"0151",NA,NA
"0152",NA,NA
"0153",NA,NA
"0154",NA,NA
"0155",NA,NA
"0156",NA,NA
"0157",NA,"no"
"0158",NA,NA
"0159",NA,NA
"0160",NA,NA
"0161",NA,NA
"0162",NA,NA
"0163",NA,NA
"0164",NA,NA
"0165",NA,NA
"0166",NA,NA
"0167",NA,NA
"0168",NA,NA
"0169",NA,NA
"0170",NA,NA
"0171",NA,NA
"0172",NA,NA
"0173",NA,"yes"
"0174",NA,NA
"0175",NA,NA
"0176",NA,NA
"0177",NA,NA
"0178",NA,NA
"0179",NA,NA
"0180",NA,NA
"0181",NA,NA
"0182",NA,NA
"0183",NA,NA
"0184",NA,NA
"0185",NA,NA
"0186",NA,NA
"0187",NA,NA
"0188",NA,NA
"0189",NA,NA
"0190",NA,NA
"0191",NA,NA
"0192",NA,NA
"0193",NA,NA
"0194",NA,NA
"0195",NA,NA
"0196",NA,NA
"0197",NA,"no"
"0198",NA,NA
"0199",NA,NA
"0200",NA,NA
"0201",NA,NA
"0202",NA,NA
"0203",NA,"no"
"0204","no","no"
"0205",NA,NA
"0206",NA,NA
"0207",NA,NA
"0208",NA,NA
"0209","no",NA
"0210",NA,NA
"0211",NA,NA
"0212",NA,NA
"0213",NA,NA
"0214",NA,NA
"0215",NA,NA
"0216",NA,NA
"0217",NA,NA
"0218",NA,NA
"0219",NA,NA
"0220",NA,NA
"0221",NA,NA
"0222",NA,NA
"0223",NA,NA
"0224",NA,NA
"0225",NA,"no"
"0226",NA,NA
"0227",NA,NA
"0228",NA,NA
"0229",NA,NA
"0230",NA,NA
"0231",NA,NA
"0232",NA,"no"
"0233",NA,NA
"0234",NA,NA
"0235",NA,NA
"0236",NA,NA
"0237",NA,NA
"0238",NA,NA
"0239",NA,NA
"0240","no",NA
"0241",NA,"yes"
"0242",NA,NA
"0243",NA,NA
"0244",NA,NA
"0245","no",NA
"0246",NA,NA
"0247",NA,NA
"0248",NA,NA
"0249",NA,NA
"0250",NA,NA
"0251",NA,NA
"0252",NA,NA
"0253",NA,NA
"0254",NA,NA
"0255",NA,"no"
"0256",NA,NA
"0257",NA,NA
"0258",NA,NA
"0259",NA,NA
"0260",NA,NA
"0261",NA,NA
"0262",NA,"no"
"0263",NA,NA
"0264","no",NA
"0265","no",NA
"0266",NA,NA
"0267",NA,NA
"0268",NA,NA
"0269",NA,NA
"0270",NA,"no"
"0271",NA,NA
"0272",NA,NA
"0273",NA,NA
"0274",NA,NA
"0275","no",NA
"0276",NA,NA
"0277",NA,NA
"0278",NA,NA
"0279",NA,NA
"0280",NA,NA
"0281",NA,NA
"0282",NA,NA
"0283",NA,NA
"0284",NA,NA
"0285",NA,NA
"0286",NA,NA
"0287",NA,NA
"0288",NA,NA
"0289",NA,NA
"0290",NA,NA
"0291",NA,NA
"0292",NA,NA
"0293","no",NA
"0294",NA,NA
"0295",NA,NA
"0296",NA,NA
"0297",NA,NA
"0298",NA,"yes"
"0299",NA,NA
"0300",NA,NA
"0301",NA,NA
"0302",NA,NA
"0303","no",NA
"0304",NA,"no"
"0305",NA,NA
"0306",NA,NA
"0307",NA,NA
"0308",NA,NA
"0309",NA,NA
"0310",NA,NA
"0311",NA,NA
"0312",NA,NA
"0313",NA,NA
"0314",NA,NA
"0315",NA,"yes"
"0316",NA,NA
"0317",NA,NA
"0318",NA,NA
"0319",NA,NA
"0320",NA,NA
"0321",NA,NA
"0322",NA,NA
"0323",NA,"no"
"0324",NA,NA
"0325",NA,NA
"0326",NA,NA
"0327",NA,NA
"0328",NA,NA
"0329",NA,NA
"0330",NA,NA
"0331",NA,NA
"0332",NA,NA
"0333",NA,NA
"0334",NA,NA
"0335",NA,NA
"0336",NA,NA
"0337",NA,NA
"0338",NA,NA
"0339",NA,NA
"0340",NA,"yes"
"0341",NA,NA
"0342",NA,"no"
"0343",NA,NA
"0344",NA,NA
"0345",NA,NA
"0346",NA,NA
"0347",NA,NA
"0348",NA,NA
"0349",NA,NA
"0350",NA,NA
"0351",NA,NA
"0352",NA,NA
"0353","no",NA
"0354",NA,NA
"0355",NA,NA
"0356",NA,NA
"0357",NA,NA
"0358",NA,NA
"0359",NA,"no"
"0360",NA,"no"
"0361",NA,NA
"0362",NA,NA
"0363",NA,NA
"0364",NA,NA
"0365",NA,NA
"0366",NA,NA
"0367",NA,NA
"0368",NA,NA
"0369",NA,NA
"0370",NA,NA
"0371",NA,NA
"0372",NA,NA
"0373",NA,NA
"0374",NA,NA
"0375",NA,NA
"0376",NA,NA
"0377",NA,NA
"0378",NA,NA
"0379",NA,NA
"0380",NA,NA
"0381",NA,NA
"0382",NA,NA
"0383",NA,NA
"0384",NA,NA
"0385",NA,NA
"0386","no",NA
"0387",NA,NA
"0388",NA,NA
"0389",NA,NA
"0390",NA,NA
"0391",NA,NA
"0392",NA,NA
"0393",NA,NA
"0394",NA,"no"
"0395",NA,NA
"0396",NA,NA
"0397",NA,NA
"0398",NA,NA
"0399",NA,NA
"0400",NA,NA
"0401",NA,NA
"0402","no","no"
"0403",NA,NA
"0404","no",NA
"0405",NA,"no"
"0406",NA,NA
"0407",NA,NA
"0408",NA,NA
"0409",NA,NA
"0410",NA,NA
"0411",NA,NA
"0412",NA,NA
"0413",NA,NA
"0414",NA,NA
"0415",NA,NA
"0416",NA,NA
"0417",NA,NA
"0418",NA,NA
"0419",NA,NA
"0420",NA,"no"
"0421",NA,NA
"0422",NA,NA
"0423",NA,NA
"0424",NA,NA
"0425",NA,NA
"0426",NA,NA
"0427",NA,NA
"0428",NA,NA
"0429",NA,NA
"0430",NA,NA
"0431",NA,NA
"0432",NA,NA
"0433",NA,NA
"0434",NA,NA
"0435",NA,NA
"0436","no",NA
"0437",NA,NA
"0438",NA,NA
"0439",NA,NA
"0440",NA,NA
"0441",NA,NA
"0442",NA,NA
"0443","no",NA
"0444",NA,NA
"0445",NA,NA
"0446",NA,NA
"0447",NA,NA
"0448","no",NA
"0449",NA,NA
"0450",NA,NA
"0451",NA,NA
"0452",NA,NA
"0453",NA,NA
"0454",NA,NA
"0455",NA,NA
"0456",NA,NA
"0457",NA,NA
"0458",NA,NA
"0459",NA,NA
"0460",NA,"no"
"0461",NA,NA
"0462",NA,NA
"0463",NA,NA
"0464",NA,NA
"0465",NA,NA
"0466",NA,NA
"0467",NA,NA
"0468",NA,NA
"0469",NA,NA
"0470",NA,NA
"0471",NA,NA
"0472",NA,NA
"0473",NA,NA
"0474",NA,NA
"0475",NA,NA
"0476",NA,NA
"0477","yes",NA
"0478",NA,NA
"0479","no","no"
"0480",NA,NA
"0481",NA,NA
"0482",NA,NA
"0483",NA,"no"
"0484",NA,NA
"0485",NA,NA
"0486",NA,"no"
"0487",NA,NA
"0488",NA,NA
"0489",NA,NA
"0490",NA,NA
"0491",NA,NA
"0492",NA,NA
"0493",NA,NA
"0494",NA,NA
"0495",NA,NA
"0496",NA,NA
"0497",NA,NA
"0498",NA,"no"
"0499",NA,NA
"0500",NA,NA
"0501",NA,NA
"0502",NA,NA
"0503",NA,NA
"0504",NA,NA
"0505",NA,NA
"0506",NA,NA
"0507",NA,NA
"0508",NA,NA
"0509",NA,NA
"0510",NA,NA
"0511",NA,NA
"0512","no","no"
"0513",NA,NA
"0514",NA,NA
"0515",NA,NA
"0516",NA,NA
"0517",NA,NA
"0518",NA,NA
"0519","no",NA
"0520",NA,NA
"0521",NA,NA
"0522",NA,NA
"0523",NA,NA
"0524",NA,NA
"0525",NA,NA
"0526",NA,NA
"0527",NA,NA
"0528",NA,NA
"0529",NA,NA
"0530",NA,NA
"0531",NA,NA
"0532",NA,NA
"0533",NA,NA
"0534",NA,NA
"0535",NA,NA
"0536",NA,NA
"0537",NA,NA
"0538",NA,NA
"0539",NA,NA
"0540",NA,NA
"0541",NA,NA
"0542",NA,NA
"0543",NA,NA
"0544",NA,NA
"0545",NA,NA
"0546",NA,NA
"0547",NA,NA
"0548","no",NA
"0549",NA,NA
"0550",NA,NA
"0551",NA,NA
"0552",NA,NA
"0553",NA,NA
"0554",NA,NA
"0555",NA,NA
"0556",NA,NA
"0557",NA,NA
"0558",NA,NA
"0559",NA,NA
"0560",NA,NA
"0561","no",NA
"0562",NA,NA
"0563",NA,NA
"0564",NA,NA
"0565",NA,NA
"0566",NA,NA
"0567",NA,NA
"0568",NA,NA
"0569",NA,NA
"0570",NA,NA
"0571",NA,NA
"0572","no",NA
"0573",NA,NA
"0574",NA,NA
"0575",NA,NA
"0576",NA,NA
"0577",NA,NA
"0578",NA,NA
"0579",NA,NA
"0580",NA,NA
"0581",NA,NA
"0582","no",NA
"0583",NA,NA
"0584",NA,NA
"0585",NA,NA
"0586",NA,NA
"0587",NA,NA
"0588",NA,NA
"0589",NA,NA
"0590",NA,NA
"0591",NA,NA
"0592",NA,NA
"0593",NA,NA
"0594",NA,NA
"0595",NA,NA
"0596",NA,NA
"0597",NA,NA
"0598",NA,NA
"0599",NA,NA
"0600",NA,"no"
"0601",NA,NA
"0602",NA,"no"
"0603",NA,NA
"0604",NA,NA
"0605",NA,NA
"0606",NA,NA
"0607",NA,NA
"0608",NA,NA
"0609",NA,NA
"0610",NA,NA
"0611",NA,NA
"0612",NA,NA
"0613","no",NA
"0614","no","no"
"0615",NA,NA
"0616",NA,NA
"0617",NA,NA
"0618",NA,NA
"0619",NA,NA
"0620",NA,"no"
"0621",NA,NA
"0622",NA,NA
"0623",NA,NA
"0624",NA,NA
"0625",NA,"no"
"0626",NA,NA
"0627",NA,NA
"0628",NA,"no"
"0629",NA,NA
"0630",NA,"no"
"0631",NA,NA
"0632",NA,NA
"0633",NA,NA
"0634",NA,NA
"0635",NA,NA
"0636",NA,"no"
"0637",NA,NA
"0638",NA,NA
"0639",NA,NA
"0640",NA,NA
"0641",NA,NA
"0642","no",NA
"0643",NA,"no"
"0644",NA,NA
"0645",NA,NA
"0646",NA,"no"
"0647",NA,NA
"0648",NA,NA
"0649","yes",NA
"0650","no",NA
"0651","no",NA
"0652",NA,NA
"0653","no",NA
"0654",NA,NA
"0655",NA,NA
"0656",NA,NA
"0657",NA,"no"
"0658",NA,NA
"0659",NA,NA
"0660",NA,NA
"0661",NA,NA
"0662",NA,NA
"0663",NA,NA
"0664","no",NA
"0665",NA,NA
"0666",NA,NA
"0667",NA,NA
"0668",NA,NA
"0669",NA,NA
"0670",NA,NA
"0671",NA,NA
"0672",NA,NA
"0673",NA,NA
"0674",NA,NA
"0675",NA,NA
"0676",NA,NA
"0677",NA,NA
"0678",NA,NA
"0679",NA,NA
"0680",NA,NA
"0681",NA,NA
"0682",NA,NA
"0683",NA,NA
"0684",NA,NA
"0685",NA,NA
"0686",NA,NA
"0687",NA,NA
"0688",NA,NA
"0689",NA,"no"
"0690",NA,NA
"0691",NA,NA
"0692",NA,NA
"0693",NA,"yes"
"0694",NA,NA
"0695",NA,NA
"0696",NA,NA
